code,permno,ticker,name,exchcd,shrcd,first_date,last_date,active,included,dlstcd
us.17290,17290,PPEM,DIREXION SHARES E T F TRUST,4,73,2018-02-16,2020-09-25,False,False,450
us.17293,17293,PPMC,DIREXION SHARES E T F TRUST,4,73,2018-02-16,2020-09-25,False,False,450
us.17294,17294,VSL,E T F SERIES SOLUTIONS,4,73,2018-02-26,2022-07-28,False,False,450
us.17295,17295,RENW,E T F SERIES SOLUTIONS,4,73,2018-03-01,2020-01-29,False,False,450
us.17296,17296,EKAR,EXCHANGE TRADED CONCEPTS TR,4,73,2018-02-15,2023-01-11,False,False,450
us.17297,17297,FLAX,FRANKLIN TEMPLETON E T F TRUST,4,73,2018-02-12,2024-12-31,True,False,100
us.17298,17298,FLSW,FRANKLIN TEMPLETON E T F TRUST,4,73,2018-02-13,2024-12-31,True,False,100
us.17299,17299,FLRU,FRANKLIN TEMPLETON E T F TRUST,4,73,2018-02-13,2022-03-03,False,False,573
us.17300,17300,FLIN,FRANKLIN TEMPLETON E T F TRUST,4,73,2018-02-12,2024-12-31,True,False,100
us.17301,17301,ZEPP,ZEPP HEALTH CORP,1,31,2018-02-09,2024-12-31,True,False,100
us.17302,17302,KURE,KRANESHARES TRUST,4,73,2018-02-02,2024-12-31,True,False,100
us.17303,17303,IDIV,METAURUS EQUITY COMPONENT TRUST,4,73,2018-02-14,2022-12-09,False,False,450
us.17305,17305,XDIV,METAURUS EQUITY COMPONENT TRUST,4,73,2018-02-09,2021-12-10,False,False,450
us.17306,17306,QES,QUINTANA ENERGY SERVICES INC,1,11,2018-02-12,2020-07-27,False,True,231
us.17307,17307,VICI,VICI PROPERTIES INC,1,18,2018-02-02,2024-12-31,True,True,100
us.17308,17308,HUD,HUDSON LTD,1,12,2018-02-02,2020-11-30,False,True,233
us.17309,17309,PACK,RANPAK HOLDINGS CORP,1,11,2018-03-05,2024-12-31,True,True,100
us.17310,17310,CAAP,CORPORACION AMERICA AIRPORTS S A,1,12,2018-02-02,2024-12-31,True,True,100
us.17311,17311,BFRA,BIOFRONTERA AG,3,31,2018-02-15,2022-03-04,False,False,570
us.17313,17313,BLNK,BLINK CHARGING CO,3,11,2018-02-15,2024-12-31,True,True,100
us.17315,17315,CDLX,CARDLYTICS INC,3,11,2018-02-12,2024-12-31,True,True,100
us.17316,17316,CRON,CRONOS GROUP INC,3,12,2018-02-28,2024-12-31,True,True,100
us.17317,17317,EOLS,EVOLUS INC,3,11,2018-02-09,2024-12-31,True,True,100
us.17318,17318,FAMI,FARMMI INC,3,12,2018-02-20,2024-12-31,True,True,100
