code,date,dlret_pct
us.13433,2019-10-04,-0.3959
us.13438,2022-08-11,8.6363
us.13440,2020-04-20,-2.4898
us.13444,2022-05-02,0.3106
us.13445,2016-08-24,-1.6128
us.13448,2013-04-12,-0.8302
us.13449,2015-03-18,1.7534999999999998
us.13453,2023-04-27,-1.0989
us.13454,2017-11-16,0.0619
us.13456,2019-01-18,0.053399999999999996
us.13499,2016-10-21,0.338
us.13500,2015-02-18,0.0377
us.13502,2019-01-11,-0.8144
us.13504,2020-04-20,-0.2202
us.13507,2022-05-24,-0.0105
us.13509,2016-06-23,-0.9943000000000001
us.13513,2022-05-02,0.217
us.13516,2015-06-18,-0.1859
us.13517,2020-03-27,0.2909
us.13518,2020-03-27,-0.7291
us.13519,2024-12-20,1.2597
us.13520,2024-10-10,0.053399999999999996
us.13521,2021-02-26,0.2874
us.13524,2019-09-24,0.2506
us.13526,2015-03-25,0.1164
us.13529,2017-05-23,0.0
us.13532,2022-01-21,1.2017
us.13533,2015-05-07,0.0217
us.13535,2013-05-20,18.0709
us.13536,2014-04-04,-6.8965
us.13537,2023-08-18,0.40159999999999996
us.13538,2017-06-23,0.4989
us.13540,2017-07-21,0.5016999999999999
us.13541,2019-06-14,-0.4263
us.13542,2022-10-26,0.2042
us.13544,2020-07-13,-43.3333
us.13546,2015-10-01,15.1832
