date,prev_close,open,high,low,close,volume,value
20160908,6494.3159,6489.6169,6518.3321,6478.6477,6517.9835,7187803200,87070650800.0
20160909,6517.9835,6518.6757,6539.3476,6470.9046,6471.053,7804533100,94500093900.0
20160912,6471.053,6362.77,6383.8434,6283.8161,6291.6364,8948759200,103998987900.0
20160913,6291.6364,6324.7438,6340.8722,6284.0368,6320.0315,6811747700,80869935800.0
20160914,6320.0315,6286.6174,6318.2705,6260.6525,6278.158,5789187500,68572342700.0
20160919,6278.158,6292.807,6344.4504,6292.807,6344.181,5450545000,63199986200.0
20160920,6344.181,6344.7056,6346.9304,6319.7623,6342.0328,5413817700,62262654900.0
20160921,6342.0328,6342.004,6362.9993,6335.3916,6343.7541,5029034300,60152141200.0
20160922,6343.7541,6381.1565,6410.57,6377.1734,6385.6353,6259147500,73458028900.0
20160923,6385.6353,6397.3334,6402.6392,6369.2226,6370.5834,6208544400,71463469500.0
20160926,6370.5834,6363.9308,6364.2086,6239.8672,6241.5157,7153221300,80225206800.0
20160927,6241.5157,6229.8183,6287.3356,6200.5654,6286.9093,5640053300,63613816900.0
20160928,6286.9093,6300.8497,6300.8497,6266.7529,6281.2838,4877570200,55099442400.0
20160929,6281.2838,6288.9181,6323.4158,6288.9181,6298.7911,5069155800,58112818800.0
20160930,6298.7911,6292.0797,6338.299,6289.4658,6328.0856,4495665200,52578182400.0
20161010,6328.0856,6364.5166,6447.9361,6345.331,6447.6934,7272403500,87775587300.0
20161011,6447.6934,6451.0445,6486.6499,6443.7479,6486.4254,7824261600,89209429700.0
20161012,6486.4254,6463.8094,6484.0002,6452.4135,6482.7379,6771848700,77595765700.0
20161013,6482.7379,6480.9293,6501.5569,6468.1323,6484.831,6795004100,77855506400.0
20161014,6484.831,6476.2612,6477.8533,6423.5788,6469.4915,6536798100,74857548200.0
20161017,6469.4915,6478.5108,6487.6708,6394.4868,6413.1487,7120714500,83111020800.0
20161018,6413.1487,6409.7381,6509.2821,6409.7381,6509.2821,7312980000,85331128500.0
20161019,6509.2821,6518.7373,6531.162,6476.562,6495.2574,7465519300,86758272000.0
20161020,6495.2574,6495.8268,6506.581,6474.7793,6498.2375,6557491200,75634634700.0
20161021,6498.2375,6498.9857,6506.6107,6424.4429,6475.2807,7274542000,83046145900.0
20161024,6475.2807,6479.5541,6546.7881,6472.9393,6539.4661,8557288500,92508217800.0
